CERT,STNAME,DOCKET,ACTIVE,ADDRESS,ASSET,CITY,COUNTY,DEP,INACTIVE,NAME,NEWCERT,ROA,ROAQ,ROE,ROEQ,ZIP
5142,Minnesota,0,1,16 1st St Se,35353,Fairfax,Renville,22391,0,The First National Bank of Fairfax,0,1.710856622,1.83,4.91,5.1,55332
16983,Arkansas,9771,0,2009 Browns Lane,302055,Jonesboro,Craighead,244021,1,"Heritage Bank, National Association",3857,0.606956356,0.71,4.99,6.34,72403
19849,Tennessee,14602,0,51 West Main Street,386908,Parsons,Decatur,377672,1,Community South Bank,15310,-2.988914932,-4.04,-141.46,-223.45,38363
17347,Iowa,12695,0,302 Oak Street,71111,Brunsville,Plymouth,65469,1,Iowa Prairie Bank,13953,0.137146621,-0.39,1.96,-5.29,51008
21284,Florida,0,1,500 S Palafox St,141132,Pensacola,Escambia,126504,0,Bank of Pensacola,0,0.435194667,0.22,5.11,2.52,32502
3327,Texas,14756,1,111 Westmoreland Street,140102,Mason,Mason,117446,0,Mason Bank,0,1.679350968,2.09,15.41,18.61,76856
5838,Kentucky,10241,1,21 Ky 11 S,61390,Booneville,Owsley,54704,0,Farmers State Bank,0,1.239902741,1.32,31.02,37.33,41314
32975,Oregon,13650,0,503 Airport Road,1114104,Medford,Jackson,977076,1,PremierWest Bank,22441,-1.124477173,-1.12,-11.47,-11.47,97504
12331,Wisconsin,11432,1,26 E Main St,455393,Chilton,Calumet,401397,0,State Bank of Chilton,0,1.922787501,1.98,18.49,18.88,53014
14260,Oklahoma,0,1,201 N Broadway St,65533,Walters,Cotton,53700,0,Walters Bank and Trust Company,0,1.818125196,1.77,10.46,9.71,73572
30072,New Jersey,4683,1,24 Davis Ave,136620,Kearny,Hudson,106093,0,Schuyler Savings Bank,0,0.187220889,0.18,1.21,1.14,7032
10936,Michigan,11858,0,One East Huron Avenue,230180,Bad Axe,Huron,201769,1,Signature Bank,58132,0.458738978,0.87,4.93,9.17,48413
17955,Kansas,14026,0,201 North Walnut Street,38811,Peabody,Marion,32811,1,The Peabody State Bank,17927,0.547109804,0.06,4.91,0.52,66866
18216,Texas,0,1,1405 S Stockton Ave,214091,Monahans,Ward,192500,0,Tejas Bank,0,2.999799217,3.04,33.92,32.41,79756
20468,Alabama,12638,1,88730 Highway 9,304801,Lineville,Clay,292156,0,FirstState Bank,0,1.152670056,1.17,25.87,27.78,36266
90160,Massachusetts,0,0,1196 River Street,2493674,Boston,Suffolk,1943234,1,Blue Hills Bank,9712,-0.425432018,-0.43,-3.2,-3.2,2136
24303,Texas,0,1,1200 W Campbell Rd,68741,Richardson,Dallas,56048,0,Pavillion Bank,0,1.987891167,2.48,14.06,16.5,75080
11891,Texas,0,1,201 South Kearney St,47635,Clarendon,Donley,38986,0,The Donley County State Bank,0,0.806197493,0.52,4.79,2.91,79226
29488,Ohio,3536,1,14806 Detroit Ave,2729823,Lakewood,Cuyahoga,1933610,0,First Federal Savings and Loan Association of Lakewood,0,0.341373234,0.28,4.16,3.49,44107
34890,Virginia,0,1,53 Commerce Dr,800203,Honaker,Russell,706323,0,"New Peoples Bank, Inc.",0,1.08480002,1.09,11.53,11.58,24260
90140,Massachusetts,12033,1,2 Center St,991332,Adams,Berkshire,810124,0,Adams Community Bank,0,0.624734867,1.03,7.08,11.74,1220
16921,Ohio,0,0,13210 Sr 226,39439,Big Prairie,Holmes,33416,1,The Monitor Bank,6540,0.870036331,0.95,6.17,6.6,44611
26725,Florida,0,1,1221 Brickell Ave,2735797,Miami,Miami-Dade,2499610,0,Banco do Brasil Americas,0,1.771917514,1.78,24.23,23.34,33131
29772,Georgia,4067,1,300 Jackson St,216498,Vidalia,Toombs,170709,0,Vidalia Federal Savings Bank,0,-0.418972761,-0.59,-3.04,-4.43,30474
90258,Massachusetts,12044,1,9 Gilbert St,396800,North Brookfield,Worcester,354648,0,North Brookfield Savings Bank,0,0.314127161,0.38,4.04,5.04,1535
15728,North Dakota,0,1,609 Main St,1212387,Hebron,Morton,1125803,0,"Dakota Community Bank & Trust, National Association",0,1.146833125,1.39,21.91,26.21,58638
23275,California,0,1,336 Main St,1573008,Quincy,Plumas,1405938,0,Plumas Bank,0,1.813568661,2.06,21.89,24.7,95971
19266,Wyoming,9899,0,2020 Grand Ave,162141,Laramie,Albany,140548,1,Capital West Bank,19220,0.887198949,0.37,7.34,2.96,82070
14911,Wisconsin,13881,1,102 W 5th Ave,319481,Shell Lake,Washburn,268103,0,Shell Lake State Bank,0,1.124939448,1.09,12.8,12.97,54871
1265,Washington,11548,1,117 Aplets Way,1999155,Cashmere,Chelan,1796768,0,Cashmere Valley Bank,0,1.328738722,1.43,15.53,15.94,98815
