CERT,Bank_Name,City,ST,Acquiring_Institution,Closing_Date,Updated_Date
35244,LandMark Bank of Florida,Sarasota,FL,American Momentum Bank,2011-07-22,2014-03-21
58056,Southshore Community Bank,Apollo Beach,FL,American Momentum Bank,2011-07-22,2015-02-05
57442,Summit Bank,Prescott,AZ,The Foothills Bank,2011-07-15,2014-08-19
34870,First Peoples Bank,Port St. Lucie,FL,"Premier American Bank, N.A.",2011-07-15,2016-07-12
19554,High Trust Bank,Stockbridge,GA,Ameris Bank,2011-07-15,2014-03-21
58238,One Georgia Bank,Atlanta,GA,Ameris Bank,2011-07-15,2014-03-21
57835,Signature Bank,Windsor,CO,Points West Community Bank,2011-07-08,2012-10-26
34522,Colorado Capital Bank,Castle Rock,CO,First-Citizens Bank & Trust Company,2011-07-08,2016-11-10
27935,First Chicago Bank & Trust,Chicago,IL,Northbrook Bank & Trust Company,2011-07-08,2012-09-09
57593,Mountain Heritage Bank,Clayton,GA,First American Bank and Trust Company,2011-06-24,2017-02-09
27583,First Commercial Bank of Tampa Bay,Tampa,FL,Stonegate Bank,2011-06-17,2016-09-12
19237,McIntosh State Bank,Jackson,GA,Hamilton State Bank,2011-06-17,2014-03-21
58420,Atlantic Bank and Trust,Charleston,SC,"First Citizens Bank and Trust Company, Inc.",2011-06-03,2014-03-21
23626,First Heritage Bank,Snohomish,WA,Columbia State Bank,2011-05-27,2013-01-28
513,Summit Bank,Burlington,WA,Columbia State Bank,2011-05-20,2013-01-22
57647,First Georgia Banking Company,Franklin,GA,"CertusBank, National Association",2011-05-20,2014-03-21
57213,Atlantic Southern Bank,Macon,GA,"CertusBank, National Association",2011-05-20,2014-03-21
34898,Coastal Bank,Cocoa Beach,FL,"Florida Community Bank, a division of Premier American Bank, N.A.",2011-05-06,2015-09-21
34234,Community Central Bank,Mount Clemens,MI,Talmer Bank & Trust,2011-04-29,2017-04-13
19797,The Park Avenue Bank,Valdosta,GA,Bank of the Ozarks,2011-04-29,2014-03-21
58539,First Choice Community Bank,Dallas,GA,Bank of the Ozarks,2011-04-29,2015-09-21
57625,Cortez Community Bank,Brooksville,FL,"Florida Community Bank, a division of Premier American Bank, N.A.",2011-04-29,2016-08-08
26297,First National Bank of Central Florida,Winter Park,FL,"Florida Community Bank, a division of Premier American Bank, N.A.",2011-04-29,2016-05-04
14273,Heritage Banking Group,Carthage,MS,Trustmark National Bank,2011-04-15,2014-03-21
24099,Rosemount National Bank,Rosemount,MN,Central Bank,2011-04-15,2015-12-07
17750,Superior Bank,Birmingham,AL,"Superior Bank, National Association",2011-04-15,2014-03-21
19794,Nexity Bank,Birmingham,AL,AloStar Bank of Commerce,2011-04-15,2014-03-21
57705,New Horizons Bank,East Ellijay,GA,Citizens South Bank,2011-04-15,2014-03-21
21495,Bartow County Bank,Cartersville,GA,Hamilton State Bank,2011-04-15,2014-03-21
35418,Nevada Commerce Bank,Las Vegas,NV,City National Bank,2011-04-08,2012-09-09
10086,Western Springs National Bank and Trust,Western Springs,IL,Heartland Bank and Trust Company,2011-04-08,2013-01-22
34292,The Bank of Commerce,Wood Dale,IL,Advantage National Bank Group,2011-03-25,2013-01-22
34818,Legacy Bank,Milwaukee,WI,Seaway Bank and Trust Company,2011-03-11,2012-09-12
4077,First National Bank of Davis,Davis,OK,The Pauls Valley National Bank,2011-03-11,2017-04-13
34187,Valley Community Bank,St. Charles,IL,First State Bank,2011-02-25,2015-02-05
34783,"San Luis Trust Bank, FSB",San Luis Obispo,CA,First California Bank,2011-02-18,2016-09-12
57855,Charter Oak Bank,Napa,CA,Bank of Marin,2011-02-18,2012-09-12
34601,Citizens Bank of Effingham,Springfield,GA,Heritage Bank of the South,2011-02-18,2014-03-21
151,Habersham Bank,Clarkesville,GA,SCBT National Association,2011-02-18,2014-03-21
34692,Canyon National Bank,Palm Springs,CA,Pacific Premier Bank,2011-02-11,2014-08-19
13272,Badger State Bank,Cassville,WI,Royal Bank,2011-02-11,2012-09-12
14939,Peoples State Bank,Hamtramck,MI,First Michigan Bank,2011-02-11,2013-01-22
35478,Sunshine State Community Bank,Port Orange,FL,"Premier American Bank, N.A.",2011-02-11,2016-08-08
57948,Community First Bank Chicago,Chicago,IL,Northbrook Bank & Trust Company,2011-02-04,2012-08-20
35242,North Georgia Bank,Watkinsville,GA,BankSouth,2011-02-04,2014-03-21
57432,American Trust Bank,Roswell,GA,Renasant Bank,2011-02-04,2014-03-21
12261,First Community Bank,Taos,NM,"U.S. Bank, N.A.",2011-01-28,2012-09-12
57646,FirsTier Bank,Louisville,CO,No Acquirer,2011-01-28,2012-09-12
5328,Evergreen State Bank,Stoughton,WI,McFarland State Bank,2011-01-28,2012-09-12
2303,The First State Bank,Camargo,OK,Bank 7,2011-01-28,2012-09-12
31293,United Western Bank,Denver,CO,First-Citizens Bank & Trust Company,2011-01-21,2012-09-12
34516,The Bank of Asheville,Asheville,NC,First Bank,2011-01-21,2014-03-21
57868,CommunitySouth Bank & Trust,Easley,SC,"CertusBank, National Association",2011-01-21,2016-06-06
19758,Enterprise Banking Company,McDonough,GA,No Acquirer,2011-01-21,2014-03-21
57440,Oglethorpe Bank,Brunswick,GA,Bank of the Ozarks,2011-01-14,2014-03-21
57820,Legacy Bank,Scottsdale,AZ,Enterprise Bank & Trust,2011-01-07,2016-04-12
34965,First Commercial Bank of Florida,Orlando,FL,First Southern Bank,2011-01-07,2016-06-06
23306,Community National Bank,Lino Lakes,MN,Farmers & Merchants Savings Bank,2010-12-17,2016-11-10
58052,First Southern Bank,Batesville,AR,Southern Bank,2010-12-17,2012-08-20
35065,"United Americas Bank, N.A.",Atlanta,GA,State Bank and Trust Company,2010-12-17,2015-10-17
58495,"Appalachian Community Bank, FSB",McCaysville,GA,Peoples Bank of East Tennessee,2010-12-17,2014-03-21
