Cert,Report_Period,Institution_Name,City,State,Class,Total_Assets,Total_Deposits
10568,20230930,"COMMUNITY DEVELOPMENT BANK, FSB",OGEMA,MN,SB,188545,168864
10571,20230930,FARMERS AND MERCHANTS STATE BANK OF ALPHA,ALPHA,MN,NM,39423,34492
10576,20230930,FIRST SOUTHEAST BANK,HARMONY,MN,NM,122727,98026
10594,20230930,BANK OF FRANKLIN,MEADVILLE,MS,NM,225473,203028
10595,20230930,COMMUNITY FIRST BANK,BUTLER,MO,NM,242185,209141
10597,20230930,THE BANK OF ORRICK,ORRICK,MO,NM,77850,67144
10608,20230930,UNICO BANK,MINERAL POINT,MO,NM,466589,419031
10618,20230930,BTC BANK,BETHANY,MO,NM,1119431,892351
10619,20230930,HAWTHORN BANK,JEFFERSON CITY,MO,NM,1871136,1586232
10623,20230930,STATE BANK OF MISSOURI,CONCORDIA,MO,NM,144730,135564
10626,20230930,BANK OF NEW CAMBRIA,NEW CAMBRIA,MO,NM,35328,32554
10628,20230930,PREFERRED BANK,ROTHVILLE,MO,NM,139167,130289
10634,20230930,PINNACLE BANK,LINCOLN,NE,NM,8243706,6680098
10635,20230930,THE BANK OF STEINAUER,STEINAUER,NE,NM,16072,14266
10637,20230930,FIRST CENTRAL BANK,CAMBRIDGE,NE,NM,128965,110090
10639,20230930,FLATWATER BANK,GOTHENBURG,NE,NM,258427,203224
10641,20230930,RIVERSTONE BANK,EAGLE,NE,NM,497668,448160
10643,20230930,DUNDEE BANK,OMAHA,NE,NM,621263,540858
10644,20230930,STATE BANK OF ODELL,ODELL,NE,NM,32343,30618
10647,20230930,AMERICAN EXCHANGE BANK,ELMWOOD,NE,SM,71222,46452
10663,20230930,THE ANDOVER BANK,ANDOVER,OH,SM,550409,535652
10667,20230930,MABREY BANK,BIXBY,OK,SM,1732787,1534976
10672,20230930,THE EXCHANGE BANK,SKIATOOK,OK,NM,137916,123231
10674,20230930,BANK OF HYDRO,HYDRO,OK,NM,149825,128708
10677,20230930,"JONESTOWN BANK AND TRUST COMPANY, OF JONESTOWN, PENNSYLVANIA",JONESTOWN,PA,NM,913782,743106
10678,20230930,THE MUNCY BANK AND TRUST COMPANY,MUNCY,PA,NM,659970,522240
10685,20230930,MIFFLINBURG BANK AND TRUST COMPANY,MIFFLINBURG,PA,NM,558260,477129
10693,20230930,SIMPLYBANK.,DAYTON,TN,NM,701819,619604
10704,20230930,FIRST STATE BANK,ABILENE,TX,SM,35008,26080
10709,20230930,CROSSROADS BANK,YOAKUM,TX,NM,316565,292885
10719,20230930,PEOPLES STATE BANK OF HALLETTSVILLE,HALLETTSVILLE,TX,NM,364469,327901
10741,20230930,INDEPENDENCE STATE BANK,INDEPENDENCE,WI,NM,78783,65454
10788,20230930,ILLINI STATE BANK,OGLESBY,IL,SM,161582,125195
10791,20230930,COMMUNITY BANK,WINSLOW,IL,NM,264359,178583
10799,20230930,FIRST STATE BANK OF CAMPBELL HILL,CAMPBELL HILL,IL,NM,153030,131024
10803,20230930,DEWEY BANK,DEWEY,IL,NM,27783,24679
10804,20230930,DU QUOIN STATE BANK,DU QUOIN,IL,SM,119432,113806
10809,20230930,FIRST STATE BANK OF VAN ORIN,VAN ORIN,IL,NM,43749,41052
10816,20230930,GRAND RIVERS COMMUNITY BANK,GRAND CHAIN,IL,NM,28660,26160
10820,20230930,STATE BANK OF INDUSTRY,INDUSTRY,IL,NM,56069,48959
10821,20230930,CLAY COUNTY STATE BANK,LOUISVILLE,IL,NM,110176,101755
10829,20230930,"PETEFISH, SKILES & CO.",VIRGINIA,IL,NM,300833,272090
10831,20230930,"THE FIRST TRUST AND SAVINGS BANK OF WATSEKA, ILLINOIS",WATSEKA,IL,SM,314403,272663
10840,20230930,CAMPUS STATE BANK,CAMPUS,IL,NM,26708,23974
10843,20230930,CITIZENS BANK OF CHATSWORTH,CHATSWORTH,IL,NM,36668,29876
10844,20230930,BUENA VISTA NATIONAL BANK,CHESTER,IL,N,277684,231984
10845,20230930,THE CLAY CITY BANKING CO.,CLAY CITY,IL,NM,206547,189901
10849,20230930,TOMPKINS STATE BANK,AVON,IL,NM,300857,271684
10853,20230930,WEST CENTRAL BANK,ASHLAND,IL,NM,239156,183343
10855,20230930,STATE BANK OF BEMENT,BEMENT,IL,NM,173313,150232
10858,20230930,ANDERSON STATE BANK,ONEIDA,IL,NM,108163,95611
10860,20230930,MURPHY-WALL STATE BANK AND TRUST COMPANY,PINCKNEYVILLE,IL,NM,167662,153732
10871,20230930,FIRST STATE BANK OF BEECHER CITY,BEECHER CITY,IL,NM,97729,83365
10872,20230930,CHESTERFIELD STATE BANK,CHESTERFIELD,IL,NM,22894,20831
10878,20230930,WATERMAN BANK,WATERMAN,IL,NM,153565,128683
10883,20230930,BANK OF BLUFFS,BLUFFS,IL,NM,62410,53068
10886,20230930,LEGENCE BANK,ELDORADO,IL,NM,637238,577419
10903,20230930,CENTRAL STATE BANK,STATE CENTER,IA,NM,472170,388952
10906,20230930,THE BALDWIN STATE BANK,BALDWIN CITY,KS,NM,100159,89809
10907,20230930,GUARANTY STATE BANK AND TRUST COMPANY,BELOIT,KS,NM,371391,296262
10918,20230930,GRANT COUNTY BANK,ULYSSES,KS,NM,277411,236641
10919,20230930,THE STATE BANK OF BERN,BERN,KS,NM,107581,91785
10920,20230930,THE FIDELITY STATE BANK AND TRUST COMPANY,DODGE CITY,KS,SM,189725,152554
10928,20230930,THE MINERS STATE BANK,IRON RIVER,MI,NM,138850,124463
10956,20230930,NORTHVIEW BANK,SANDSTONE,MN,NM,435179,380521
10958,20230930,UNITED PRAIRIE BANK,MOUNTAIN LAKE,MN,NM,841244,713668
10960,20230930,JANESVILLE STATE BANK,JANESVILLE,MN,NM,89167,74488
10962,20230930,GRAND RAPIDS STATE BANK,GRAND RAPIDS,MN,SM,248033,226449
10965,20230930,LAKE REGION BANK,NEW LONDON,MN,NM,141190,133912
10967,20230930,"F & M COMMUNITY BANK, NATIONAL ASSOCIATION",PRESTON,MN,N,206786,173934
10969,20230930,RANDALL STATE BANK,RANDALL,MN,NM,58504,52763
10971,20230930,PRIME SECURITY BANK,KARLSTAD,MN,NM,136720,111773
10973,20230930,ALLIANCE BANK,LAKE CITY,MN,NM,770181,614394
10976,20230930,CENTER NATIONAL BANK,LITCHFIELD,MN,N,247757,226810
10980,20230930,ESB BANK,CALEDONIA,MN,NM,159632,133330
10982,20230930,SECURITY STATE BANK OF OKLEE,OKLEE,MN,NM,41592,35107
10984,20230930,SECURITY BANK MINNESOTA,ALBERT LEA,MN,NM,143234,118309
10987,20230930,CAMBRIDGE STATE BANK,CAMBRIDGE,MN,NM,87197,80240
10988,20230930,STEARNS BANK NATIONAL ASSOCIATION,SAINT CLOUD,MN,N,2822916,2150432
10989,20230930,LAKE CENTRAL BANK,ANNANDALE,MN,NM,217058,205474
10991,20230930,FIRST STATE BANK OF BIGFORK,BIGFORK,MN,NM,103291,87781
10993,20230930,BONANZA VALLEY STATE BANK,BROOTEN,MN,NM,75534,64457
10998,20230930,FM BANK,WASECA,MN,NM,582275,540913
11002,20230930,ST. CLAIR COUNTY STATE BANK,OSCEOLA,MO,NM,194180,167888
11003,20230930,LIMEBANK,BOLIVAR,MO,NM,90310,64907
11013,20230930,THE FIRST STATE BANK OF SHELBY,SHELBY,MT,NM,168069,121195
11035,20230930,PEAPACK-GLADSTONE BANK,BEDMINSTER,NJ,SM,6517967,5279637
